# French source|English|Deutsch|Español|Português
Prélèvement actuel|Current sample|Aktuelle Farbprobe|Muestra actual|Amostra atual
correspondance|match|Treffer|coincidencia|correspondência
correspondances|matches|Treffer|coincidencias|correspondências
substitution|substitute|Ersatz|sustitución|substituição
substitutions|substitutes|Ersatzfarben|sustituciones|substituições
introuvable|not found|nicht gefunden|no encontrada|não encontrada
introuvables|not found|nicht gefunden|no encontradas|não encontradas
Sombre|Dark|Dunkel|Oscuro|Escuro
Moyenne|Midtone|Mittelton|Medio|Médio
Claire|Light|Hell|Claro|Claro
Très sombre|Very dark|Sehr dunkel|Muy oscuro|Muito escuro
Très claire|Very light|Sehr hell|Muy claro|Muito claro
ancrage et ombre|foundation and shadow|Verankerung und Schatten|base y sombra|base e sombra
cœur de teinte|core hue|Kernfarbton|tono central|tom central
ouverture et lumière|openness and light|Öffnung und Licht|apertura y luz|abertura e luz
profondeur forte|deep shadows|starke Tiefe|profundidad intensa|profundidade intensa
appui et volume|structure and volume|Halt und Volumen|estructura y volumen|estrutura e volume
lumière contrôlée|controlled light|kontrolliertes Licht|luz controlada|luz controlada
haut de gamme et éclat|highlights and brightness|Lichtspitzen und Glanz|luces altas y brillo|luzes altas e brilho
Couleur de catalogue invalide.|Invalid catalog color.|Ungültige Katalogfarbe.|Color de catálogo no válido.|Cor de catálogo inválida.
{0} tonalites|{0} tones|{0} Farbtöne|{0} tonalidades|{0} tonalidades
{0} tons|{0} tones|{0} Farbtöne|{0} tonos|{0} tons
base mid tone|midtone base|Mitteltonbasis|base de tono medio|base de tom médio
bases mid tone|midtone bases|Mitteltonbasen|bases de tono medio|bases de tom médio
Tonalités par fabricant|Tones by manufacturer|Farbtöne nach Hersteller|Tonalidades por fabricante|Tonalidades por fabricante
Nuances d'une même couleur, converties en recommandations de sprays réels.|Shades of one color, matched to real spray references.|Nuancen einer Farbe, passenden echten Sprühfarben zugeordnet.|Matices de un color, convertidos en recomendaciones de aerosoles reales.|Tons de uma cor, convertidos em recomendações de sprays reais.
{0} · Tonalites sprays|{0} · Spray tones|{0} · Sprühfarbtöne|{0} · Tonalidades de aerosoles|{0} · Tonalidades de sprays
Aucune base exploitable n'a été trouvée dans ce catalogue.|No usable base color found in this catalog.|Keine geeignete Ausgangsfarbe in diesem Katalog gefunden.|No se ha encontrado una base utilizable en este catálogo.|Nenhuma cor base utilizável encontrada neste catálogo.
Très précise|Very close|Sehr genau|Muy precisa|Muito precisa
Précise|Close|Genau|Precisa|Precisa
Correcte|Fair|Ordentlich|Aceptable|Aceitável
Approximative|Approximate|Ungefähr|Aproximada|Aproximada
Impossible de copier cette valeur.|Cannot copy this value.|Dieser Wert kann nicht kopiert werden.|No se puede copiar este valor.|Não é possível copiar este valor.
Copier HEX|Copy HEX|HEX kopieren|Copiar HEX|Copiar HEX
Base mid tone {0} · {1} sert de point de depart a la rampe sombre vers clair.|Midtone base {0} · {1} is the starting point for the dark-to-light gradient.|Mitteltonbasis {0} · {1} ist der Ausgangspunkt für den Verlauf von Dunkel nach Hell.|La base de tono medio {0} · {1} es el punto de partida del degradado de oscuro a claro.|A base de tom médio {0} · {1} é o ponto de partida do gradiente de escuro para claro.
Valeurs de la couleur|Color values|Farbwerte|Valores del color|Valores da cor
Couleur de départ · {0}|Starting color · {0}|Ausgangsfarbe · {0}|Color inicial · {0}|Cor inicial · {0}
Cible théorique|Theoretical target|Theoretischer Zielton|Objetivo teórico|Alvo teórico
base proposée|suggested base|vorgeschlagene Basis|base propuesta|base sugerida
bases proposées|suggested bases|vorgeschlagene Basen|bases propuestas|bases sugeridas
0 base|0 bases|0 Basen|0 bases|0 bases
Aucune base mid tone n'a été détectée automatiquement pour cette marque.|No midtone base was automatically detected for this brand.|Für diese Marke wurde keine Mitteltonbasis automatisch erkannt.|No se ha detectado automáticamente ninguna base de tono medio para esta marca.|Nenhuma base de tom médio foi detetada automaticamente para esta marca.
Chargement du nuancier tonal...|Loading tone chart…|Farbtonkarte wird geladen…|Cargando carta tonal…|A carregar catálogo tonal…
Erreur de chargement du nuancier tonal.|Failed to load the tone chart.|Farbtonkarte konnte nicht geladen werden.|Error al cargar la carta tonal.|Erro ao carregar o catálogo tonal.
Erreur au démarrage de la page tonalités.|Failed to start the tones page.|Farbtonseite konnte nicht gestartet werden.|Error al iniciar la página de tonalidades.|Erro ao iniciar a página de tonalidades.
Sélection|Selection|Auswahl|Selección|Seleção
Index|Index|Index|Índice|Índice
Familles affichées|Displayed families|Angezeigte Farbfamilien|Familias mostradas|Famílias apresentadas
Recherche|Search|Suche|Búsqueda|Pesquisa
Retrouver une liste|Find a list|Liste wiederfinden|Buscar una lista|Procurar uma lista
Colle des codes, des noms ou des lignes complètes. Une ligne par spray fonctionne le mieux, mais les tabulations et points-virgules sont aussi acceptés.|Paste codes, names or complete lines. One line per spray works best; tabs and semicolons are also accepted.|Füge Codes, Namen oder vollständige Zeilen ein. Eine Zeile pro Sprühfarbe ist ideal; Tabulatoren und Semikolons werden ebenfalls akzeptiert.|Pega códigos, nombres o líneas completas. Lo ideal es una línea por aerosol; también se admiten tabulaciones y puntos y coma.|Cola códigos, nomes ou linhas completas. Uma linha por spray funciona melhor; também são aceites tabulações e pontos e vírgulas.
Ajouter automatiquement les références trouvées au panier|Automatically add found references to my list|Gefundene Referenzen automatisch zur Liste hinzufügen|Añadir automáticamente las referencias encontradas a mi lista|Adicionar automaticamente as referências encontradas à lista
Chaque ligne retrouvée ajoute un spray. Les doublons augmentent la quantité dans le panier.|Each matched line adds one can. Duplicates increase the quantity in your list.|Jede gefundene Zeile fügt eine Dose hinzu. Duplikate erhöhen die Menge in deiner Liste.|Cada línea encontrada añade un bote. Los duplicados aumentan la cantidad en tu lista.|Cada linha encontrada adiciona uma lata. Os duplicados aumentam a quantidade na lista.
Effacer|Clear|Löschen|Borrar|Limpar
Nuancier|Color chart|Farbkarte|Carta de colores|Catálogo de cores
Les deux|Both|Beide|Ambas|Ambas
Références retrouvées|Found references|Gefundene Referenzen|Referencias encontradas|Referências encontradas
Vue compacte|Compact view|Kompaktansicht|Vista compacta|Vista compacta
Catalogue fabricant|Manufacturer catalog|Herstellerkatalog|Catálogo del fabricante|Catálogo do fabricante
Retour à la roue|Back to wheel|Zurück zum Farbrad|Volver a la rueda|Voltar à roda
Tonalités fabricant|Manufacturer tones|Herstellerfarbtöne|Tonalidades del fabricante|Tonalidades do fabricante
Stay in touch · Instagram|Stay in touch · Instagram|In Kontakt bleiben · Instagram|Sigue en contacto · Instagram|Mantém o contacto · Instagram
Nuanciers par marque|Color charts by brand|Farbkarten nach Marke|Cartas de colores por marca|Catálogos de cores por marca
Choisis un fabricant en haut. La page affiche ensuite toutes les références du catalogue, classées par familles chromatiques.|Choose a manufacturer above. The page then displays all catalog references, grouped by color family.|Wähle oben einen Hersteller. Die Seite zeigt dann alle Katalogreferenzen nach Farbfamilien an.|Elige un fabricante arriba. La página mostrará todas las referencias del catálogo, agrupadas por familias cromáticas.|Escolhe um fabricante acima. A página apresenta todas as referências do catálogo, agrupadas por famílias cromáticas.
Nom, code ou HEX…|Name, code or HEX…|Name, Code oder HEX…|Nombre, código o HEX…|Nome, código ou HEX…
Filtrer les familles chromatiques|Filter color families|Farbfamilien filtern|Filtrar familias cromáticas|Filtrar famílias cromáticas
Une référence par ligne|One reference per line|Eine Referenz pro Zeile|Una referencia por línea|Uma referência por linha
Mode d'affichage|Display mode|Anzeigemodus|Modo de visualización|Modo de visualização
Base|Base|Basis|Base|Base
Cibles|Targets|Zieltöne|Objetivos|Alvos
Les nuances générées servent de cible. Ensuite on cherche les sprays réels les plus convaincants dans la marque choisie.|Generated shades serve as targets. We then find the best real spray matches within the selected brand.|Die erzeugten Nuancen dienen als Zieltöne. Anschließend werden die passendsten Sprühfarben der gewählten Marke gesucht.|Los matices generados sirven de objetivo. Después se buscan los aerosoles reales más adecuados de la marca elegida.|Os tons gerados servem de alvo. Depois procuram-se os sprays reais mais adequados na marca escolhida.
Matches|Matches|Treffer|Coincidencias|Correspondências
Une référence par niveau, en privilégiant la cohérence de teinte et l'ordre sombre vers clair.|One reference per level, prioritizing hue consistency and dark-to-light order.|Eine Referenz pro Stufe, mit Vorrang für Farbtonkonsistenz und die Reihenfolge von Dunkel nach Hell.|Una referencia por nivel, priorizando la coherencia del tono y el orden de oscuro a claro.|Uma referência por nível, privilegiando a coerência do tom e a ordem de escuro para claro.
Gammes de tonalités par marque|Tone ranges by brand|Farbtonreihen nach Marke|Gamas de tonalidades por marca|Gamas de tonalidades por marca
Choisis une marque, sélectionne une base mid tone du fabricant, puis demande une rampe en 3 ou 4 niveaux. La page cherche ensuite les références réelles les plus proches dans le catalogue.|Choose a brand and a midtone base, then select a 3- or 4-level gradient. The page finds the closest real references in the catalog.|Wähle eine Marke und eine Mitteltonbasis, dann einen Verlauf mit 3 oder 4 Stufen. Die Seite sucht die nächstliegenden echten Katalogreferenzen.|Elige una marca y una base de tono medio, y selecciona un degradado de 3 o 4 niveles. La página buscará las referencias reales más cercanas del catálogo.|Escolhe uma marca e uma base de tom médio, depois seleciona um gradiente de 3 ou 4 níveis. A página procura as referências reais mais próximas no catálogo.
Nombre de tonalités|Number of tones|Anzahl der Farbtöne|Número de tonalidades|Número de tonalidades
Bases mid tone disponibles|Available midtone bases|Verfügbare Mitteltonbasen|Bases de tono medio disponibles|Bases de tom médio disponíveis
Cercle chromatique interactif|Interactive color wheel|Interaktiver Farbkreis|Círculo cromático interactivo|Círculo cromático interativo
Indisponible|Unavailable|Nicht verfügbar|No disponible|Indisponível
Solide|Strong|Gut|Sólida|Sólida
Approchée|Approximate|Angenähert|Aproximada|Aproximada
Libre|Loose|Frei|Libre|Livre
couleur|color|Farbe|color|cor
couleurs|colors|Farben|colores|cores
BASE|BASE|BASIS|BASE|BASE
{0} deg|{0}°|{0}°|{0}°|{0}°
Approximation|Approximation|Annäherung|Aproximación|Aproximação
Correspondance|Match|Übereinstimmung|Coincidencia|Correspondência
Photo|Photo|Foto|Foto|Fotografia
Une référence par ligne G3140 Shock Black G9010 Banana Yellow|One reference per line\nG3140 Shock Black\nG9010 Banana Yellow|Eine Referenz pro Zeile\nG3140 Shock Black\nG9010 Banana Yellow|Una referencia por línea\nG3140 Shock Black\nG9010 Banana Yellow|Uma referência por linha\nG3140 Shock Black\nG9010 Banana Yellow
Mat|Matte|Matt|Mate|Mate
Brillant|Gloss|Glänzend|Brillante|Brilhante
Transparent|Transparent|Transparent|Transparente|Transparente
Fluorescent|Fluorescent|Fluoreszierend|Fluorescente|Fluorescente
Métallisé|Metallic|Metallic|Metalizado|Metalizado
Satiné|Satin|Seidenmatt|Satinado|Acetinado
Nombre maximum de sprays|Maximum number of sprays|Maximale Anzahl an Sprühfarben|Número máximo de aerosoles|Número máximo de sprays
Référence : {0}|Reference: {0}|Referenz: {0}|Referencia: {0}|Referência: {0}
Fiche épinglée · Échap pour fermer|Pinned card · Escape to close|Angeheftete Karte · Escape zum Schließen|Ficha fijada · Escape para cerrar|Ficha fixada · Escape para fechar
Cliquez pour garder cette fiche ouverte.|Click to keep this card open.|Klicken, um diese Karte geöffnet zu halten.|Haz clic para mantener esta ficha abierta.|Clica para manter esta ficha aberta.
Survolez une couleur pour identifier le spray. Cliquez pour garder la fiche ouverte.|Hover over a color to identify the spray. Click to keep the card open.|Bewege den Zeiger über eine Farbe, um die Sprühfarbe zu sehen. Klicke, um die Karte geöffnet zu halten.|Pasa el cursor sobre un color para identificar el aerosol. Haz clic para mantener la ficha abierta.|Passa o cursor sobre uma cor para identificar o spray. Clica para manter a ficha aberta.
Cliquez sur un pixel ou glissez pour sélectionner une zone et voir ses sprays.|Click a pixel or drag to select an area and see its sprays.|Klicke auf ein Pixel oder ziehe einen Bereich auf, um dessen Sprühfarben zu sehen.|Haz clic en un píxel o arrastra para seleccionar una zona y ver sus aerosoles.|Clica num píxel ou arrasta para selecionar uma zona e ver os seus sprays.
Sprays de la zone sélectionnée|Sprays in the selected area|Sprühfarben im ausgewählten Bereich|Aerosoles de la zona seleccionada|Sprays da zona selecionada
{0} références dans cette zone|{0} references in this area|{0} Referenzen in diesem Bereich|{0} referencias en esta zona|{0} referências nesta zona
Part de chaque spray dans la zone · Échap pour fermer|Share of each spray in the area · Escape to close|Anteil jeder Sprühfarbe im Bereich · Escape zum Schließen|Proporción de cada aerosol en la zona · Escape para cerrar|Proporção de cada spray na zona · Escape para fechar
Cette zone est entièrement transparente.|This area is entirely transparent.|Dieser Bereich ist vollständig transparent.|Esta zona es completamente transparente.|Esta zona é totalmente transparente.
